"環境","ファイルパス","拡張子","総行数","空白行数","コメント行数","コード行数","有効ステップ数","推測方法","推測根拠"
"j2","scripts/cicd/app_release/build_stage/j2/push_image.sh","sh",14,4,3,7,7,"j1 の実測値","j2 のファイル数 1 < j1 のファイル数 2 (参照: scripts/cicd/app_release/build_stage/j1/push_image.sh)"
"j2","terraform/stacks/03-dbrelease/env/j2/main.tf","tf",10,2,1,7,7,"j1 の実測値","j2 のファイル数 0 < j1 のファイル数 2 (参照: terraform/stacks/03-dbrelease/env/j1/main.tf)"
"j2","terraform/stacks/03-dbrelease/env/j2/rds/cluster.tf","tf",20,3,4,13,13,"j1 の実測値","j2 のファイル数 0 < j1 のファイル数 2 (参照: terraform/stacks/03-dbrelease/env/j1/rds/cluster.tf)"
"j3","terraform/stacks/01-workload/env/j3/compute/ec2.tf","tf",40,9,1,30,30,"j1 の実測値","j3 のファイル数 4 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/compute/ec2.tf)"
"j3","terraform/stacks/01-workload/env/j3/scripts/backup.sh","sh",17,4,1,12,12,"j1 の実測値","j3 のファイル数 4 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/scripts/backup.sh)"
"st","terraform/stacks/01-workload/env/st/compute/ec2.tf","tf",40,9,1,30,30,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/compute/ec2.tf)"
"st","terraform/stacks/01-workload/env/st/main.tf","tf",10,2,1,7,7,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/main.tf)"
"st","terraform/stacks/01-workload/env/st/network/subnet.tf","tf",40,9,1,30,30,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/network/subnet.tf)"
"st","terraform/stacks/01-workload/env/st/network/vpc.tf","tf",59,10,9,40,40,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/network/vpc.tf)"
"st","terraform/stacks/01-workload/env/st/scripts/backup.sh","sh",17,4,1,12,12,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/scripts/backup.sh)"
"st","terraform/stacks/01-workload/env/st/scripts/deploy.sh","sh",43,9,5,29,29,"j1 の実測値","st のファイル数 0 < j1 のファイル数 6 (参照: terraform/stacks/01-workload/env/j1/scripts/deploy.sh)"
"st","terraform/stacks/02-apprelease/env/st/ecs/service.tf","tf",22,3,1,18,18,"j1 の実測値","st のファイル数 1 < j1 のファイル数 2 (参照: terraform/stacks/02-apprelease/env/j1/ecs/service.tf)"
