"環境","ファイルパス","拡張子","区分","総行数","空白行数","コメント行数","コード行数","有効ステップ数","推測根拠"
"j1","j1/compute/ec2.tf","tf","実測",40,9,1,30,30,""
"j1","j1/main.tf","tf","実測",10,2,1,7,7,""
"j1","j1/network/subnet.tf","tf","実測",40,9,1,30,30,""
"j1","j1/network/vpc.tf","tf","実測",59,10,9,40,40,""
"j1","j1/scripts/backup.sh","sh","実測",17,4,1,12,12,""
"j1","j1/scripts/deploy.sh","sh","実測",43,9,5,29,29,""
"j2","j2/compute/ec2.tf","tf","実測",40,9,1,30,30,""
"j2","j2/main.tf","tf","実測",10,2,1,7,7,""
"j2","j2/network/subnet.tf","tf","実測",40,9,1,30,30,""
"j2","j2/network/vpc.tf","tf","実測",69,12,10,47,47,""
"j2","j2/scripts/backup.sh","sh","実測",17,4,1,12,12,""
"j2","j2/scripts/deploy.sh","sh","実測",43,9,5,29,29,""
"j3","j3/compute/ec2.tf","tf","推測",40,9,1,30,30,"j1,j2,st,pr の中央値 (4環境)"
"j3","j3/main.tf","tf","実測",10,2,1,7,7,""
"j3","j3/network/subnet.tf","tf","実測",40,9,1,30,30,""
"j3","j3/network/vpc.tf","tf","実測",59,10,9,40,40,""
"j3","j3/scripts/backup.sh","sh","推測",17,4,1,12,12,"j1,j2,st の中央値 (3環境)"
"j3","j3/scripts/deploy.sh","sh","実測",43,9,5,29,29,""
"st","st/compute/ec2.tf","tf","実測",40,9,1,30,30,""
"st","st/main.tf","tf","実測",10,2,1,7,7,""
"st","st/network/subnet.tf","tf","推測",40,9,1,30,30,"j1,j2,j3,pr の中央値 (4環境)"
"st","st/network/vpc.tf","tf","実測",59,10,9,40,40,""
"st","st/scripts/backup.sh","sh","実測",17,4,1,12,12,""
"st","st/scripts/deploy.sh","sh","実測",43,9,5,29,29,""
"pr","pr/compute/ec2.tf","tf","実測",40,9,1,30,30,""
"pr","pr/main.tf","tf","推測",10,2,1,7,7,"j1,j2,j3,st の中央値 (4環境)"
"pr","pr/network/subnet.tf","tf","実測",40,9,1,30,30,""
"pr","pr/network/vpc.tf","tf","実測",59,10,9,40,40,""
"pr","pr/scripts/backup.sh","sh","推測",17,4,1,12,12,"j1,j2,st の中央値 (3環境)"
"pr","pr/scripts/deploy.sh","sh","実測",43,9,5,29,29,""
"(環境外)","common/README.sh","sh","実測",3,0,1,2,2,""
